-10,0.117725,1.53962
-9.9,0.0856286,1.5415
-9.8,0.0507809,1.54318
-9.7,0.012752,1.54144
-9.6,-0.0262091,1.53356
-9.5,-0.062314,1.51924
-9.4,-0.0924596,1.50103
-9.3,-0.116174,1.48309
-9.2,-0.136033,1.46875
-9.1,-0.156224,1.45861
-9,-0.180085,1.45009
-8.9,-0.208119,1.43906
-8.8,-0.237692,1.42221
-8.7,-0.264604,1.39907
-8.6,-0.285548,1.37223
-8.5,-0.299965,1.34574
-8.4,-0.310196,1.32277
-8.3,-0.319907,1.30385
-8.2,-0.331835,1.28686
-8.1,-0.346253,1.26858
-8,-0.361054,1.24677
-7.9,-0.37329,1.22151
-7.8,-0.381102,1.19498
-7.7,-0.384809,1.16989
-7.6,-0.386521,1.14781
-7.5,-0.388647,1.12824
-7.4,-0.392326,1.10919
-7.3,-0.396817,1.08863
-7.2,-0.400171,1.06588
-7.1,-0.400651,1.04197
-7,-0.397915,1.01886
-6.9,-0.393176,0.998074
-6.8,-0.388313,0.979708
-6.7,-0.384571,0.962479
-6.6,-0.381782,0.944697
-6.5,-0.378587,0.925463
-6.4,-0.373464,0.905257
-6.3,-0.365824,0.885548
-6.2,-0.356401,0.867733
-6.1,-0.346709,0.852167
-6,-0.337977,0.837965
-5.9,-0.330327,0.823669
-5.8,-0.322744,0.808291
-5.7,-0.313856,0.791994
-5.6,-0.302933,0.775939
-5.5,-0.290402,0.761429
-5.4,-0.277538,0.748979
-5.3,-0.265551,0.737962
-5.2,-0.254748,0.727071
-5.1,-0.244339,0.715254
-5,-0.233037,0.70245
-4.9,-0.219989,0.689612
-4.8,-0.205397,0.678
-4.7,-0.190367,0.668268
-4.6,-0.176118,0.659983
-4.5,-0.163111,0.651932
-4.4,-0.150723,0.642985
-4.3,-0.137697,0.632889
-4.2,-0.123048,0.622444
-4.1,-0.106772,0.612913
-4,-0.0898529,0.605096
-3.9,-0.073554,0.598736
-3.8,-0.0585,0.592673
-3.7,-0.0442075,0.585656
-3.6,-0.0294065,0.57723
-3.5,-0.0129341,0.56806
-3.4,0.00543525,0.559449
-3.3,0.0248239,0.552386
-3.2,0.0438825,0.54679
-3.1,0.0617836,0.541517
-3,0.0788687,0.535126
-2.9,0.0964705,0.526889
-2.8,0.116015,0.517308
-2.7,0.13803,0.507753
-2.6,0.161766,0.499455
-2.5,0.185746,0.492544
-2.4,0.208865,0.485837
-2.3,0.231285,0.477558
-2.2,0.254467,0.46651
-2.1,0.280269,0.452872
-2,0.309719,0.438024
-1.9,0.342328,0.423461
-1.8,0.376466,0.409519
-1.7,0.410608,0.394803
-1.6,0.444601,0.376755
-1.5,0.48006,0.353025
-1.4,0.519533,0.322688
-1.3,0.56493,0.286401
-1.2,0.616239,0.24526
-1.1,0.671423,0.198989
-1,0.727569,0.144582
-0.9,0.782464,0.0762804
-0.8,0.835296,-0.0131091
-0.7,0.885489,-0.130388
-0.6,0.9296,-0.280675
-0.5,0.95718,-0.466852
-0.4,0.947235,-0.688286
-0.3,0.868015,-0.935914
-0.2,0.68521,-1.18229
-0.1,0.384388,-1.37424
-1.87905e-14,7.52609e-14,-1.44828
0.1,-0.384388,-1.37424
0.2,-0.68521,-1.18229
0.3,-0.868015,-0.935914
0.4,-0.947235,-0.688286
0.5,-0.95718,-0.466852
0.6,-0.9296,-0.280675
0.7,-0.885489,-0.130388
0.8,-0.835296,-0.0131091
0.9,-0.782464,0.0762804
1,-0.727569,0.144582
1.1,-0.671423,0.198989
1.2,-0.616239,0.24526
1.3,-0.56493,0.286401
1.4,-0.519533,0.322688
1.5,-0.48006,0.353025
1.6,-0.444601,0.376755
1.7,-0.410608,0.394803
1.8,-0.376466,0.409519
1.9,-0.342328,0.423461
2,-0.309719,0.438024
2.1,-0.280269,0.452872
2.2,-0.254467,0.46651
2.3,-0.231285,0.477558
2.4,-0.208865,0.485837
2.5,-0.185746,0.492544
2.6,-0.161766,0.499455
2.7,-0.13803,0.507753
2.8,-0.116015,0.517308
2.9,-0.0964705,0.526889
3,-0.0788687,0.535126
3.1,-0.0617836,0.541517
3.2,-0.0438825,0.54679
3.3,-0.0248239,0.552386
3.4,-0.00543525,0.559449
3.5,0.0129341,0.56806
3.6,0.0294065,0.57723
3.7,0.0442075,0.585656
3.8,0.0585,0.592673
3.9,0.073554,0.598736
4,0.0898529,0.605096
4.1,0.106772,0.612913
4.2,0.123048,0.622444
4.3,0.137697,0.632889
4.4,0.150723,0.642985
4.5,0.163111,0.651932
4.6,0.176118,0.659983
4.7,0.190367,0.668268
4.8,0.205397,0.678
4.9,0.219989,0.689612
5,0.233037,0.70245
5.1,0.244339,0.715254
5.2,0.254748,0.727071
5.3,0.265551,0.737962
5.4,0.277538,0.748979
5.5,0.290402,0.761429
5.6,0.302933,0.775939
5.7,0.313856,0.791994
5.8,0.322744,0.808291
5.9,0.330327,0.823669
6,0.337977,0.837965
6.1,0.346709,0.852167
6.2,0.356401,0.867733
6.3,0.365824,0.885548
6.4,0.373464,0.905257
6.5,0.378587,0.925463
6.6,0.381782,0.944697
6.7,0.384571,0.962479
6.8,0.388313,0.979708
6.9,0.393176,0.998074
7,0.397915,1.01886
7.1,0.400651,1.04197
7.2,0.400171,1.06588
7.3,0.396817,1.08863
7.4,0.392326,1.10919
7.5,0.388647,1.12824
7.6,0.386521,1.14781
7.7,0.384809,1.16989
7.8,0.381102,1.19498
7.9,0.37329,1.22151
8,0.361054,1.24677
8.1,0.346253,1.26858
8.2,0.331835,1.28686
8.3,0.319907,1.30385
8.4,0.310196,1.32277
8.5,0.299965,1.34574
8.6,0.285548,1.37223
8.7,0.264604,1.39907
8.8,0.237692,1.42221
8.9,0.208119,1.43906
9,0.180085,1.45009
9.1,0.156224,1.45861
9.2,0.136033,1.46875
9.3,0.116174,1.48309
9.4,0.0924596,1.50103
9.5,0.062314,1.51924
9.6,0.0262091,1.53356
9.7,-0.012752,1.54144
9.8,-0.0507809,1.54318
9.9,-0.0856286,1.5415
10,-0.117725,1.53962
